Timestamp,Topic,Message
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Algorithm Parameters/Risk Factor QMax,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Algorithm Parameters/Risk Factor QMax"",
  ""acqDateTime"": ""2024-04-10T23:03:21.642+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 1.0,
  ""valueAsString"": ""1"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0940431Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Algorithm Parameters/Ns Th1,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Algorithm Parameters/Ns Th1"",
  ""acqDateTime"": ""2024-04-10T23:03:21.647+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 1.0,
  ""valueAsString"": ""1"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0960426Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Algorithm Parameters/Ns Th2,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Algorithm Parameters/Ns Th2"",
  ""acqDateTime"": ""2024-04-10T23:03:21.654+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 10000.0,
  ""valueAsString"": ""10000"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0970412Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Algorithm Parameters/Alarm Message,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Algorithm Parameters/Alarm Message"",
  ""acqDateTime"": ""2024-04-10T23:03:21.66+07:00"",
  ""dataType"": 1,
  ""valueAsNumeric"": ""NaN"",
  ""valueAsString"": ""GTG3301 Phase U"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0980409Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Statistical Parameters/QMax95,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Statistical Parameters/QMax95"",
  ""acqDateTime"": ""2024-04-10T11:49:09.63+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 0.0,
  ""valueAsString"": ""0"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0980409Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Statistical Parameters/N,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Statistical Parameters/N"",
  ""acqDateTime"": ""2024-04-10T11:49:09.63+07:00"",
  ""dataType"": 4,
  ""valueAsNumeric"": 7703.0,
  ""valueAsString"": ""7703"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0990424Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Statistical Parameters/Nw,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Statistical Parameters/Nw"",
  ""acqDateTime"": ""2024-04-10T11:49:09.63+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 0.0,
  ""valueAsString"": ""0"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.1000947Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Statistical Parameters/N\s,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Statistical Parameters/N\\s"",
  ""acqDateTime"": ""2024-04-10T11:49:09.63+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 0.0,
  ""valueAsString"": ""0"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.1000947Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Statistical Parameters/Sync Amplitude,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Statistical Parameters/Sync Amplitude"",
  ""acqDateTime"": ""2024-04-10T11:49:09.63+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 2.3239400386810303,
  ""valueAsString"": ""2.32394003868103"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.1010452Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Statistical Parameters/Sync Frequency,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Statistical Parameters/Sync Frequency"",
  ""acqDateTime"": ""2024-04-10T11:49:09.63+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 50.009799957275391,
  ""valueAsString"": ""50.0097999572754"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.102042Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
